product_category,unit_price,unit_cost,historical_avg_sales,lead_time_days,quarter,actual_demand
Electronics,507.73,261.43,70.0,25,Q1,46
Apparel,764.79,468.2,66.7,19,Q4,57
Perishables,567.48,367.46,28.5,17,Q3,30
Perishables,166.33,92.77,88.1,10,Q1,70
Apparel,925.53,527.01,19.3,21,Q1,17
Automotive,293.52,204.55,72.6,23,Q1,47
Automotive,157.16,102.31,24.7,11,Q3,22
Electronics,665.88,397.2,111.7,13,Q1,74
Raw Materials,230.51,147.26,39.8,24,Q4,35
Automotive,720.2,532.22,29.0,26,Q3,22
Raw Materials,137.53,84.69,56.7,5,Q4,65
Electronics,711.04,494.4,48.8,9,Q3,37
Electronics,850.38,486.35,52.3,6,Q1,26
Apparel,476.42,273.82,76.6,24,Q4,95
Automotive,298.24,191.19,40.7,4,Q3,48
Apparel,340.62,160.05,25.7,23,Q2,21
Perishables,119.98,60.98,109.2,26,Q3,91
Perishables,517.31,324.29,119.7,6,Q2,126
Raw Materials,44.82,20.51,90.9,26,Q2,89
Electronics,693.8,408.99,103.1,21,Q1,63
Perishables,221.55,117.23,27.1,14,Q2,25
Apparel,500.55,235.46,70.9,15,Q1,45
Apparel,97.67,44.25,86.9,15,Q4,100
Electronics,166.33,124.61,77.5,11,Q4,106
Electronics,814.16,428.42,28.1,20,Q4,30
Perishables,893.89,621.82,112.3,5,Q4,93
Perishables,763.69,526.58,32.2,5,Q1,21
Perishables,645.33,382.73,48.2,6,Q2,54
Perishables,607.93,357.5,75.6,17,Q1,48
Electronics,396.25,233.96,110.2,23,Q3,81
Perishables,611.21,397.0,98.4,22,Q1,75
Electronics,525.45,253.18,119.8,6,Q1,77
Electronics,70.51,40.83,66.9,12,Q2,60
Electronics,133.65,78.73,103.9,17,Q4,134
Apparel,482.59,302.73,90.6,15,Q3,91
Perishables,671.49,394.29,77.9,13,Q4,55
Automotive,902.03,635.02,29.6,15,Q2,29
Electronics,272.97,145.27,112.9,13,Q4,134
Electronics,425.96,225.36,103.2,10,Q3,96
Electronics,143.05,65.02,34.6,16,Q3,48
Apparel,385.17,202.88,99.3,12,Q1,76
Automotive,343.48,216.58,105.7,27,Q2,85
Automotive,875.79,502.6,110.8,14,Q2,70
Electronics,493.51,308.11,47.7,26,Q1,44
Raw Materials,233.54,139.06,115.9,19,Q1,97
Raw Materials,417.31,302.3,67.7,10,Q1,44
Perishables,231.01,111.02,18.8,19,Q2,12
Perishables,99.79,51.63,70.4,17,Q2,72
Perishables,181.27,126.06,114.3,25,Q4,110
Automotive,286.38,159.46,17.7,3,Q4,24
Perishables,250.28,137.26,25.9,10,Q3,10
Apparel,202.48,112.21,90.7,17,Q3,89
Perishables,916.01,427.48,36.5,24,Q3,19
Automotive,51.83,37.54,104.1,25,Q4,114
Raw Materials,680.59,324.51,50.9,7,Q2,31
Automotive,370.38,273.98,80.5,22,Q2,66
Apparel,307.96,143.35,96.9,24,Q1,81
Automotive,554.86,252.12,99.0,25,Q1,82
Electronics,532.89,298.39,37.9,9,Q2,14
Perishables,423.75,301.0,87.6,15,Q1,65
Automotive,544.3,301.86,36.7,14,Q2,24
Apparel,279.95,187.58,41.3,10,Q1,25
Apparel,802.68,504.63,19.9,16,Q4,22
Perishables,207.78,150.2,40.8,21,Q1,30
Raw Materials,694.33,458.86,114.7,5,Q3,95
Apparel,480.22,321.28,42.5,17,Q3,37
Perishables,583.13,378.87,26.2,4,Q1,19
Electronics,415.64,223.83,60.7,10,Q3,58
Electronics,164.5,76.48,69.7,25,Q4,85
Perishables,706.32,358.84,91.0,25,Q4,73
Electronics,628.47,340.66,114.1,11,Q3,94
Automotive,575.32,259.01,64.7,23,Q3,54
Automotive,423.8,216.73,103.7,22,Q2,87
Perishables,794.31,586.92,39.2,26,Q4,37
Perishables,349.29,186.02,75.1,14,Q4,72
Electronics,529.95,292.27,80.7,15,Q4,95
Automotive,62.2,30.42,34.5,25,Q2,32
Perishables,103.73,77.5,57.2,19,Q1,62
Raw Materials,935.52,486.02,50.3,27,Q4,34
Apparel,706.37,529.07,52.2,15,Q2,42
Apparel,78.3,58.31,19.7,16,Q3,23
Electronics,396.38,282.49,97.6,7,Q3,86
Perishables,862.39,390.87,119.1,9,Q3,85
Raw Materials,802.42,546.31,68.8,21,Q2,49
Electronics,209.66,108.21,99.1,8,Q2,89
Electronics,511.62,292.04,33.3,19,Q2,16
Electronics,180.05,90.97,80.4,8,Q1,83
Electronics,579.58,333.82,63.0,4,Q4,64
Electronics,80.38,39.74,100.0,12,Q4,129
Electronics,541.28,391.83,41.5,26,Q2,39
Automotive,524.67,242.06,86.7,18,Q1,55
Apparel,814.6,489.95,101.6,21,Q4,103
Apparel,283.0,137.65,106.2,21,Q4,141
Electronics,183.18,128.57,102.9,15,Q1,76
Apparel,841.59,411.07,107.3,21,Q2,80
Automotive,786.15,535.69,31.9,9,Q4,35
Raw Materials,45.81,30.41,49.3,16,Q1,43
Electronics,145.42,92.63,101.0,26,Q4,131
Automotive,433.34,215.79,112.9,17,Q1,79
Raw Materials,198.12,102.77,46.6,6,Q1,41
Electronics,92.71,67.45,106.5,20,Q4,145
Apparel,445.82,247.76,94.6,22,Q3,87
Perishables,661.8,407.82,64.2,16,Q4,52
Electronics,133.0,65.67,98.5,17,Q1,84
Raw Materials,635.61,424.6,116.1,19,Q4,97
Raw Materials,705.46,336.6,82.0,7,Q2,60
Perishables,412.49,198.73,93.3,17,Q3,89
Electronics,633.02,404.78,64.5,17,Q3,52
Perishables,808.75,421.92,98.7,5,Q4,82
Apparel,869.77,399.87,98.6,22,Q1,50
Electronics,222.48,134.05,76.1,24,Q1,63
Automotive,765.78,503.03,30.7,15,Q1,18
Perishables,672.43,330.81,110.3,8,Q3,81
Perishables,135.49,91.78,74.9,27,Q3,85
Raw Materials,354.88,183.56,49.3,20,Q2,43
Electronics,119.96,77.35,101.6,3,Q2,91
Automotive,667.41,340.26,19.3,4,Q4,14
Electronics,905.91,645.67,77.5,8,Q1,46
Automotive,891.03,415.04,50.6,22,Q3,31
Perishables,854.28,500.37,62.5,24,Q3,54
Raw Materials,264.86,185.97,79.7,15,Q3,69
Raw Materials,717.29,350.36,84.2,23,Q3,56
Electronics,488.88,354.7,86.4,21,Q1,68
Electronics,804.81,561.55,91.4,23,Q1,59
Raw Materials,377.65,171.34,72.0,26,Q3,69
Electronics,439.14,233.81,106.7,6,Q2,94
Perishables,579.04,275.79,55.3,14,Q2,62
Apparel,707.13,502.44,57.6,10,Q2,40
Automotive,204.69,101.05,60.9,15,Q2,52
Raw Materials,408.57,233.75,52.7,9,Q2,47
Electronics,922.17,620.21,15.9,7,Q1,5
Raw Materials,159.1,73.03,39.6,17,Q2,24
Electronics,432.11,291.84,114.6,13,Q1,84
Raw Materials,385.22,218.93,84.7,17,Q1,66
Raw Materials,826.44,481.45,43.3,22,Q2,37
Electronics,523.36,245.47,27.8,3,Q2,24
Raw Materials,174.99,79.45,87.0,26,Q2,76
Automotive,334.05,153.02,62.7,9,Q3,43
Raw Materials,154.42,109.67,89.0,22,Q2,86
Raw Materials,652.82,299.66,91.7,3,Q1,67
Automotive,642.09,293.05,86.7,13,Q2,67
Automotive,602.24,294.69,95.7,10,Q3,77
Electronics,586.55,274.35,56.4,16,Q1,41
Electronics,137.0,75.71,78.5,20,Q3,74
Apparel,751.97,436.06,26.5,11,Q2,21
Apparel,736.32,347.76,99.8,21,Q2,73
Apparel,784.23,559.89,83.2,24,Q1,56
Electronics,373.48,235.72,54.9,23,Q1,31
Electronics,444.42,331.36,78.4,13,Q2,64
Automotive,731.0,438.5,105.7,23,Q4,88
Raw Materials,473.79,299.29,100.4,25,Q2,77
Raw Materials,909.53,677.17,60.2,25,Q4,50
Electronics,635.77,404.34,113.1,6,Q2,90
Perishables,132.29,79.94,69.9,18,Q2,89
Perishables,568.65,411.2,57.0,20,Q1,35
Raw Materials,789.09,468.13,86.5,9,Q2,60
Electronics,556.25,374.38,59.6,6,Q2,51
Electronics,379.89,224.92,114.9,17,Q3,101
Raw Materials,247.55,169.92,33.4,12,Q1,39
Apparel,864.36,448.62,39.9,19,Q1,30
Raw Materials,425.6,233.97,95.5,20,Q2,76
Electronics,425.79,299.8,92.4,19,Q2,94
Apparel,624.19,354.46,39.4,13,Q2,19
Apparel,580.97,349.15,43.8,4,Q3,30
Apparel,693.01,375.8,50.8,9,Q2,48
Perishables,588.93,382.12,96.1,9,Q4,81
Perishables,352.64,199.19,69.5,15,Q2,70
Raw Materials,768.32,522.37,43.5,23,Q4,38
Apparel,455.74,315.78,119.4,4,Q2,113
Electronics,945.89,582.76,21.3,22,Q4,27
Automotive,127.98,78.69,15.1,18,Q4,20
Raw Materials,932.93,566.78,27.6,15,Q3,19
Electronics,651.12,470.19,24.4,24,Q3,23
Electronics,593.72,355.02,89.4,22,Q2,69
Apparel,367.72,266.12,73.1,27,Q3,61
Perishables,401.25,247.11,106.7,6,Q2,115
Raw Materials,814.8,560.13,56.7,17,Q2,46
Automotive,611.43,334.89,106.1,12,Q2,82
Electronics,333.5,247.83,38.5,4,Q2,31
Raw Materials,561.47,263.99,28.9,4,Q2,28
Electronics,591.69,308.01,67.8,22,Q1,36
Electronics,646.34,461.14,17.7,23,Q1,11
Raw Materials,918.9,569.95,113.3,15,Q4,86
Automotive,292.75,144.79,80.1,13,Q4,71
Apparel,750.49,459.35,65.9,4,Q2,40
Apparel,603.74,398.95,40.1,25,Q3,27
Raw Materials,602.43,337.39,100.5,10,Q3,76
Raw Materials,318.69,179.37,59.7,8,Q3,50
Apparel,362.35,214.64,101.9,24,Q1,84
Apparel,740.07,552.6,29.0,4,Q1,15
Apparel,235.83,176.02,81.1,20,Q1,65
Automotive,98.8,72.84,26.5,19,Q4,28
Apparel,484.3,341.42,40.6,22,Q2,47
Perishables,382.06,241.33,56.2,8,Q2,57
Electronics,776.08,564.27,103.3,3,Q2,82
Raw Materials,750.87,377.28,84.2,25,Q3,54
Electronics,100.65,59.84,26.1,21,Q4,32
Electronics,443.38,326.17,23.9,10,Q3,26
Perishables,51.02,23.62,55.7,23,Q3,58
Raw Materials,358.23,185.42,97.3,9,Q3,92
Automotive,59.06,42.84,46.0,19,Q4,53
Electronics,928.15,510.29,27.7,5,Q2,17
Electronics,522.57,385.35,48.8,20,Q4,53
Raw Materials,471.65,337.61,76.2,15,Q3,78
Automotive,156.57,101.54,77.8,10,Q1,65
Electronics,382.15,223.55,32.2,27,Q4,35
Perishables,847.1,471.21,85.5,5,Q2,74
Electronics,275.17,161.47,94.3,23,Q1,65
Perishables,331.25,173.59,113.4,27,Q1,87
Apparel,189.98,134.98,24.6,17,Q2,23
Raw Materials,706.85,415.15,68.4,3,Q3,43
Perishables,177.93,128.44,81.8,14,Q4,77
Automotive,48.49,32.78,107.6,7,Q4,114
Perishables,405.36,206.72,47.6,13,Q1,39
Perishables,665.97,424.51,73.2,11,Q2,79
Automotive,732.5,541.62,16.2,19,Q1,9
Perishables,728.2,362.21,107.0,8,Q1,71
Automotive,375.16,230.88,96.9,22,Q2,74
Apparel,41.71,29.05,80.1,12,Q4,115
Raw Materials,762.72,550.76,106.8,25,Q1,64
Automotive,550.95,320.54,86.0,26,Q2,71
Perishables,285.54,143.48,81.8,19,Q3,73
Automotive,683.99,351.17,61.2,21,Q4,49
Electronics,434.96,314.66,21.6,22,Q4,26
Electronics,620.17,372.82,27.4,17,Q2,25
Raw Materials,389.29,225.18,36.3,18,Q4,26
Apparel,677.23,388.9,43.7,24,Q1,21
Perishables,311.84,145.88,104.5,12,Q2,120
Automotive,892.99,480.6,20.2,6,Q3,11
Automotive,867.55,447.6,95.4,6,Q2,65
Electronics,723.75,400.17,16.4,6,Q4,14
Raw Materials,80.58,59.56,40.9,9,Q4,37
Electronics,746.81,545.46,104.6,15,Q3,66
Raw Materials,603.93,351.12,70.9,23,Q1,47
Automotive,706.53,413.68,73.8,26,Q3,57
Apparel,87.55,54.67,91.7,16,Q2,84
Electronics,462.18,211.86,51.7,14,Q1,40
Electronics,177.63,121.22,24.3,12,Q2,28
Apparel,246.94,155.28,22.1,13,Q2,36
Electronics,534.62,387.86,103.9,8,Q2,88
Automotive,824.41,504.5,72.3,9,Q4,63
Raw Materials,363.94,166.17,97.6,21,Q4,99
Automotive,340.5,178.07,16.9,24,Q4,14
Apparel,640.26,449.15,40.1,16,Q1,36
Electronics,64.72,47.28,110.5,5,Q1,94
Automotive,493.01,354.16,62.4,22,Q3,60
Perishables,218.0,151.29,45.1,10,Q4,42
Electronics,565.61,316.53,82.5,25,Q3,67
Automotive,447.32,260.63,48.3,4,Q3,46
Apparel,864.59,576.62,68.2,10,Q4,62
Apparel,706.7,356.1,61.2,7,Q2,43
Perishables,843.0,429.02,48.6,16,Q1,31
Apparel,699.92,457.11,117.9,8,Q3,90
Perishables,665.04,480.22,90.5,6,Q2,84
Perishables,210.54,103.7,111.4,22,Q2,121
Perishables,731.22,331.67,101.3,4,Q4,77
Perishables,840.64,497.97,89.8,18,Q4,66
Automotive,131.58,89.22,110.1,22,Q3,114
Electronics,436.31,251.67,103.4,19,Q3,86
Perishables,617.07,439.43,26.2,18,Q3,17
Electronics,636.31,287.91,44.3,25,Q3,36
Perishables,671.68,400.46,52.8,8,Q1,37
Raw Materials,251.81,127.87,109.4,15,Q3,101
Electronics,835.55,626.61,61.9,4,Q2,41
Perishables,415.61,211.67,16.9,22,Q4,8
Automotive,919.28,654.31,45.7,27,Q3,34
Raw Materials,56.39,26.0,47.0,11,Q3,51
Electronics,296.18,144.59,37.9,16,Q1,23
Electronics,51.29,31.25,101.6,27,Q1,85
Perishables,245.98,130.6,20.1,11,Q4,13
Apparel,802.72,533.34,76.2,14,Q4,67
Automotive,561.75,310.28,102.3,18,Q3,93
Electronics,867.76,476.61,21.8,19,Q4,20
Electronics,62.88,34.06,48.3,10,Q4,57
Perishables,852.2,525.79,114.6,10,Q2,101
Raw Materials,757.81,422.95,68.8,25,Q4,60
Perishables,633.52,294.49,64.7,4,Q1,39
Electronics,284.75,178.8,41.7,24,Q1,32
Perishables,167.42,111.66,62.3,3,Q1,47
Electronics,606.49,369.4,44.5,18,Q4,53
Electronics,46.97,32.14,103.6,13,Q1,100
Automotive,461.2,285.22,45.8,12,Q2,43
Electronics,601.53,430.6,107.4,21,Q3,82
Electronics,67.0,36.67,119.2,16,Q1,107
Apparel,689.77,391.53,46.2,18,Q2,31
Raw Materials,787.29,590.1,20.4,16,Q1,10
Raw Materials,389.29,238.69,24.7,20,Q3,24
Raw Materials,540.12,259.21,23.4,14,Q3,16
Apparel,657.59,421.79,77.9,13,Q2,69
Automotive,166.37,119.0,106.7,9,Q4,118
Apparel,100.46,59.25,101.1,10,Q1,87
Raw Materials,308.49,186.39,56.9,15,Q1,44
Electronics,703.55,389.99,87.7,23,Q2,60
Raw Materials,652.4,435.4,105.5,23,Q2,90
Perishables,449.61,259.08,60.3,11,Q4,54
Perishables,569.8,363.9,17.9,27,Q4,10
Raw Materials,431.78,305.37,95.0,26,Q3,90
Raw Materials,349.19,207.71,81.9,20,Q3,79
Perishables,323.21,176.75,70.8,7,Q4,66
Raw Materials,568.0,330.63,32.6,6,Q2,23
Perishables,524.04,371.68,18.3,16,Q4,16
Perishables,185.62,137.92,66.2,17,Q2,77
Raw Materials,945.32,554.32,78.7,15,Q2,55
Raw Materials,68.15,31.27,71.8,24,Q1,75
Apparel,733.33,366.6,52.4,21,Q2,28
Apparel,217.11,159.08,86.1,16,Q1,68
Perishables,190.37,109.48,30.8,5,Q2,39
Perishables,228.65,117.82,107.4,5,Q4,115
Perishables,223.19,140.94,64.9,7,Q4,62
Perishables,160.46,91.8,90.8,4,Q1,69
Perishables,539.88,395.56,44.0,26,Q2,44
Automotive,899.08,634.17,68.9,21,Q4,59
Automotive,487.19,289.03,61.3,26,Q3,51
Perishables,876.05,561.83,105.9,19,Q2,80
Raw Materials,774.0,469.86,21.2,11,Q1,5
Electronics,622.58,411.2,21.6,10,Q2,22
Apparel,67.8,33.11,29.1,12,Q2,33
Apparel,366.43,186.39,92.0,26,Q2,77
Perishables,711.46,355.56,22.2,3,Q1,19
Apparel,787.95,399.69,103.8,3,Q2,75
Automotive,110.66,69.47,47.1,8,Q4,44
Perishables,615.2,354.9,15.6,4,Q3,5
Electronics,495.57,253.56,65.2,18,Q2,55
Automotive,686.2,377.37,44.5,4,Q4,33
Perishables,60.04,34.53,38.7,9,Q1,29
Apparel,70.64,48.43,83.0,21,Q2,84
Automotive,573.14,322.43,81.9,22,Q2,61
Automotive,689.7,347.08,45.4,26,Q2,28
Automotive,405.32,284.7,29.1,4,Q2,25
Perishables,287.11,180.67,15.0,27,Q2,21
Electronics,97.05,48.35,50.7,11,Q4,71
Electronics,115.27,54.26,52.8,27,Q3,57
Raw Materials,757.93,365.65,59.4,15,Q2,45
Raw Materials,654.38,468.01,66.9,25,Q1,39
Apparel,688.87,378.94,44.2,3,Q3,36
Electronics,655.26,305.88,26.1,11,Q3,20
Raw Materials,827.9,502.71,36.9,18,Q2,20
Perishables,376.53,276.48,34.5,11,Q1,27
Electronics,638.19,388.22,83.0,26,Q4,90
Apparel,726.16,536.79,29.3,11,Q3,24
Raw Materials,87.5,47.72,35.9,24,Q4,34
Apparel,301.54,192.89,101.4,27,Q2,80
Apparel,666.12,451.25,50.4,8,Q2,39
Electronics,153.18,95.87,92.3,27,Q2,102
Apparel,462.33,213.11,95.0,8,Q3,85
Raw Materials,283.2,193.73,28.2,14,Q1,20
Electronics,149.39,100.14,50.9,23,Q3,44
Automotive,243.17,135.55,15.1,14,Q3,17
Raw Materials,810.83,602.38,102.1,13,Q3,86
Electronics,304.94,209.76,109.4,6,Q1,79
Raw Materials,470.79,344.66,21.1,14,Q2,12
Electronics,257.63,152.2,72.2,22,Q3,74
Electronics,245.1,169.42,109.1,12,Q1,87
Automotive,326.78,218.01,100.2,15,Q4,104
Raw Materials,346.98,184.77,108.5,27,Q1,84
Automotive,667.99,314.5,81.2,22,Q3,62
Perishables,732.59,471.58,116.0,23,Q2,106
Automotive,537.64,374.15,32.4,5,Q1,28
Raw Materials,807.72,368.03,70.4,15,Q3,51
Raw Materials,639.79,458.94,114.9,6,Q4,102
Electronics,239.4,146.59,77.3,20,Q3,70
Automotive,932.87,646.45,91.9,21,Q1,56
Apparel,817.34,423.44,41.0,6,Q1,25
Perishables,646.61,453.39,95.2,26,Q1,61
Automotive,753.82,480.11,99.5,12,Q1,63
Automotive,332.72,164.89,99.9,10,Q2,86
Perishables,854.12,640.48,45.3,6,Q4,35
Perishables,908.91,546.8,94.9,27,Q1,51
Perishables,92.51,57.05,80.3,16,Q1,67
Raw Materials,391.55,226.26,83.9,20,Q2,75
Apparel,72.78,50.76,86.4,4,Q1,75
Apparel,432.56,231.09,75.9,26,Q3,70
Apparel,361.28,174.05,103.8,9,Q1,74
Apparel,734.43,369.46,67.2,22,Q4,64
Perishables,580.36,429.56,22.5,16,Q4,15
Automotive,896.11,535.81,25.0,5,Q3,14
Automotive,744.25,479.46,30.9,6,Q1,25
Electronics,530.58,352.97,112.8,25,Q3,94
Electronics,577.29,422.35,20.7,8,Q2,13
Apparel,316.59,215.56,20.4,21,Q4,31
Apparel,730.75,414.42,89.8,7,Q3,72
Perishables,205.27,131.11,99.7,17,Q3,97
Apparel,176.14,111.99,72.2,25,Q2,63
Perishables,284.81,169.38,115.0,19,Q2,116
Raw Materials,615.27,437.46,25.8,7,Q1,15
Electronics,196.6,90.1,31.7,26,Q3,27
Electronics,151.05,107.62,43.8,27,Q3,52
Electronics,217.67,140.7,84.8,8,Q1,69
Raw Materials,650.66,403.02,47.8,3,Q2,42
Raw Materials,755.45,400.14,16.7,20,Q3,5
Perishables,495.99,266.91,116.5,3,Q3,95
Apparel,499.36,266.89,27.4,8,Q4,32
Raw Materials,246.32,119.76,31.5,27,Q4,40
Raw Materials,303.94,148.5,67.7,21,Q4,70
Perishables,814.12,370.77,16.3,21,Q4,5
Raw Materials,210.09,156.32,47.2,23,Q3,47
Apparel,706.76,444.3,40.9,24,Q1,25
Automotive,433.82,236.16,22.6,7,Q2,22
Apparel,754.22,399.7,35.9,25,Q3,25
Apparel,132.25,88.16,113.8,20,Q1,84
Automotive,143.11,90.0,34.9,7,Q4,37
Electronics,226.04,134.29,42.7,9,Q2,49
Automotive,301.59,166.77,30.1,24,Q3,27
Perishables,108.78,50.54,24.7,11,Q4,20
Automotive,283.34,211.22,54.2,5,Q3,48
Automotive,450.12,246.84,47.9,8,Q4,57
Perishables,710.25,344.54,76.7,26,Q2,67
Electronics,85.94,48.28,76.2,15,Q1,67
Automotive,403.12,200.78,92.6,12,Q2,80
Electronics,493.22,260.0,24.7,20,Q3,22
Perishables,698.34,521.86,39.1,26,Q3,31
Electronics,650.31,351.0,24.6,15,Q1,10
Automotive,583.36,333.42,50.0,18,Q2,28
Perishables,489.09,325.25,36.0,26,Q2,27
Perishables,514.52,375.32,59.9,12,Q1,42
Perishables,529.88,354.67,109.0,3,Q1,82
Perishables,681.97,423.99,71.2,6,Q3,53
Apparel,753.43,470.28,97.4,24,Q2,68
Raw Materials,231.13,153.86,58.0,5,Q2,53
Electronics,276.82,194.37,69.2,18,Q1,56
Perishables,780.85,425.14,99.6,5,Q1,56
Raw Materials,881.35,543.8,71.2,12,Q1,41
Electronics,793.59,543.75,115.0,25,Q4,115
Automotive,379.9,253.98,107.0,18,Q1,76
Electronics,821.52,449.31,51.2,19,Q4,56
Perishables,417.21,311.25,31.8,11,Q1,32
Raw Materials,248.93,177.92,92.8,19,Q1,68
Automotive,524.02,268.91,71.8,24,Q2,57
Automotive,617.52,355.3,69.5,4,Q4,63
Perishables,263.27,192.89,43.1,24,Q2,55
Electronics,430.34,252.92,58.2,12,Q2,62
Electronics,225.34,146.86,106.4,15,Q2,98
Apparel,346.86,245.28,36.7,19,Q1,39
Automotive,855.06,588.89,114.9,19,Q1,69
Apparel,611.87,332.5,16.0,18,Q4,12
Electronics,527.45,263.28,106.8,27,Q1,62
Electronics,523.74,312.58,104.8,21,Q1,72
Perishables,52.16,32.71,99.4,27,Q3,92
Raw Materials,205.37,108.24,22.0,17,Q1,13
Electronics,107.44,68.48,118.9,15,Q4,148
Perishables,683.04,435.54,19.8,22,Q3,11
Perishables,885.65,563.48,84.5,4,Q1,59
Automotive,743.26,435.16,76.0,27,Q1,40
Automotive,538.71,319.82,86.1,9,Q4,80
Raw Materials,715.45,500.13,51.4,11,Q2,33
Apparel,184.4,124.01,60.5,5,Q2,57
Automotive,319.28,199.71,43.4,13,Q4,48
Perishables,208.69,118.97,59.6,4,Q4,66
Electronics,572.05,406.1,101.3,21,Q2,87
Electronics,287.47,155.89,81.9,17,Q3,65
Apparel,791.59,483.71,38.0,16,Q4,44
Automotive,642.39,324.74,63.5,6,Q3,44
Raw Materials,237.68,145.18,18.5,24,Q1,23
Perishables,790.14,443.26,85.0,16,Q2,70
Apparel,437.14,240.41,103.7,20,Q3,86
Electronics,564.8,412.2,101.8,18,Q4,118
Apparel,820.8,369.94,75.0,5,Q4,68
Apparel,329.48,152.1,52.8,13,Q3,45
Raw Materials,635.45,432.36,16.8,8,Q4,14
Automotive,682.6,448.68,102.9,25,Q3,68
Perishables,568.66,257.49,61.4,21,Q2,53
