carrier_name,distance_km,transit_days_expected,traffic_congestion,weather_impact_score,order_priority,is_delayed
UPS Supply Chain Solutions,1693.0,3,MEDIUM,0.41,HIGH,0
DHL Express Global,3784.3,7,LOW,0.16,URGENT,1
FedEx Freight,714.2,3,HIGH,0.99,URGENT,0
Maersk Intermodal,703.9,2,HIGH,0.08,HIGH,0
FedEx Freight,452.1,1,HIGH,0.06,HIGH,0
Maersk Intermodal,1984.8,5,MEDIUM,0.34,HIGH,1
DHL Express Global,1582.7,4,HIGH,0.81,MEDIUM,1
DHL Express Global,1797.4,4,LOW,0.29,HIGH,0
FedEx Freight,2792.7,6,LOW,0.6,LOW,0
UPS Supply Chain Solutions,1602.9,3,MEDIUM,0.57,URGENT,0
Maersk Intermodal,3675.4,8,LOW,0.67,MEDIUM,1
Maersk Intermodal,944.1,2,LOW,0.2,URGENT,0
UPS Supply Chain Solutions,2919.0,6,LOW,0.72,LOW,1
DHL Express Global,445.6,2,MEDIUM,0.47,URGENT,0
DHL Express Global,1502.4,3,HIGH,0.0,URGENT,0
UPS Supply Chain Solutions,1448.5,3,LOW,0.75,MEDIUM,1
FedEx Freight,1223.9,4,LOW,0.03,MEDIUM,0
DHL Express Global,3344.7,7,MEDIUM,0.64,HIGH,1
UPS Supply Chain Solutions,2565.1,5,HIGH,0.89,URGENT,1
Maersk Intermodal,1096.1,2,HIGH,0.39,MEDIUM,1
DHL Express Global,589.6,2,MEDIUM,0.94,LOW,1
UPS Supply Chain Solutions,2614.7,6,LOW,0.43,URGENT,1
UPS Supply Chain Solutions,1946.0,4,MEDIUM,0.67,HIGH,1
FedEx Freight,881.7,3,LOW,0.72,HIGH,0
UPS Supply Chain Solutions,3721.9,8,MEDIUM,0.48,MEDIUM,1
UPS Supply Chain Solutions,2279.1,4,MEDIUM,0.18,MEDIUM,1
Maersk Intermodal,2287.4,4,HIGH,0.06,LOW,0
FedEx Freight,1998.7,4,MEDIUM,0.62,HIGH,1
UPS Supply Chain Solutions,2628.0,6,HIGH,0.87,URGENT,1
Maersk Intermodal,1326.9,4,LOW,0.08,HIGH,0
FedEx Freight,1997.8,5,LOW,0.86,URGENT,0
DHL Express Global,1691.2,4,MEDIUM,0.74,MEDIUM,1
FedEx Freight,2929.0,5,HIGH,0.03,LOW,1
UPS Supply Chain Solutions,2958.2,5,MEDIUM,0.6,MEDIUM,1
Maersk Intermodal,2486.1,6,LOW,0.24,LOW,0
FedEx Freight,919.7,3,HIGH,0.59,HIGH,0
Maersk Intermodal,2758.2,5,HIGH,0.65,MEDIUM,1
DHL Express Global,3747.1,8,MEDIUM,0.94,MEDIUM,1
Maersk Intermodal,1389.2,4,MEDIUM,0.1,LOW,0
DHL Express Global,1087.1,3,MEDIUM,0.47,MEDIUM,1
Maersk Intermodal,389.1,1,HIGH,0.81,URGENT,1
Maersk Intermodal,1734.5,4,LOW,0.34,MEDIUM,0
FedEx Freight,3501.6,6,LOW,0.04,LOW,0
Maersk Intermodal,818.5,2,LOW,0.88,URGENT,1
Maersk Intermodal,3164.4,6,HIGH,0.64,MEDIUM,1
Maersk Intermodal,1259.5,4,MEDIUM,0.58,HIGH,0
FedEx Freight,374.1,2,MEDIUM,0.5,MEDIUM,0
FedEx Freight,2806.6,6,LOW,0.11,URGENT,1
UPS Supply Chain Solutions,1518.1,4,HIGH,0.83,LOW,1
Maersk Intermodal,2822.9,5,LOW,0.53,HIGH,0
DHL Express Global,1728.0,4,MEDIUM,0.22,URGENT,0
Maersk Intermodal,1418.7,3,MEDIUM,0.56,MEDIUM,0
Maersk Intermodal,2487.6,6,LOW,0.1,MEDIUM,0
DHL Express Global,2940.0,5,HIGH,0.68,MEDIUM,1
Maersk Intermodal,3314.3,7,MEDIUM,0.85,MEDIUM,1
UPS Supply Chain Solutions,3777.3,8,LOW,0.44,LOW,1
UPS Supply Chain Solutions,2488.3,6,MEDIUM,0.57,URGENT,1
DHL Express Global,1942.6,4,HIGH,0.37,URGENT,0
UPS Supply Chain Solutions,3408.7,7,HIGH,0.39,MEDIUM,1
DHL Express Global,1280.8,4,MEDIUM,0.54,URGENT,1
UPS Supply Chain Solutions,1819.7,4,HIGH,0.55,HIGH,0
Maersk Intermodal,1670.8,3,LOW,0.67,HIGH,1
UPS Supply Chain Solutions,3357.9,6,MEDIUM,0.14,LOW,0
FedEx Freight,945.2,2,MEDIUM,0.69,HIGH,0
UPS Supply Chain Solutions,1862.0,5,MEDIUM,0.39,HIGH,0
Maersk Intermodal,2031.8,4,LOW,0.01,LOW,1
FedEx Freight,375.8,1,LOW,0.89,URGENT,1
UPS Supply Chain Solutions,2811.0,5,MEDIUM,0.24,MEDIUM,0
Maersk Intermodal,1041.3,2,LOW,0.16,LOW,0
UPS Supply Chain Solutions,885.2,3,MEDIUM,0.51,LOW,1
UPS Supply Chain Solutions,3440.4,7,HIGH,0.78,MEDIUM,1
UPS Supply Chain Solutions,2196.6,5,LOW,0.28,LOW,0
DHL Express Global,3337.9,6,MEDIUM,0.71,HIGH,0
DHL Express Global,1216.1,4,MEDIUM,0.59,HIGH,0
FedEx Freight,3690.4,8,MEDIUM,0.33,LOW,1
Maersk Intermodal,2211.3,4,MEDIUM,0.34,HIGH,1
Maersk Intermodal,754.2,3,MEDIUM,0.98,URGENT,0
DHL Express Global,1185.2,2,MEDIUM,0.92,LOW,1
UPS Supply Chain Solutions,3430.8,7,HIGH,0.08,URGENT,1
UPS Supply Chain Solutions,2641.8,5,HIGH,0.09,URGENT,1
DHL Express Global,489.0,2,MEDIUM,0.38,MEDIUM,0
FedEx Freight,610.2,2,LOW,0.58,LOW,0
DHL Express Global,3101.4,7,MEDIUM,0.37,LOW,0
DHL Express Global,681.5,2,MEDIUM,0.16,URGENT,0
FedEx Freight,507.7,1,LOW,0.32,URGENT,0
DHL Express Global,3723.9,8,MEDIUM,0.15,MEDIUM,0
UPS Supply Chain Solutions,3121.3,6,LOW,1.0,MEDIUM,0
DHL Express Global,3478.1,7,LOW,0.65,URGENT,0
DHL Express Global,3494.5,7,LOW,0.71,HIGH,1
UPS Supply Chain Solutions,1082.2,2,MEDIUM,0.42,LOW,1
FedEx Freight,1778.7,4,LOW,0.24,MEDIUM,0
DHL Express Global,2019.7,4,LOW,0.61,LOW,1
FedEx Freight,432.8,2,MEDIUM,0.25,MEDIUM,0
Maersk Intermodal,3305.8,7,MEDIUM,0.97,LOW,1
UPS Supply Chain Solutions,3712.7,8,MEDIUM,0.93,MEDIUM,1
UPS Supply Chain Solutions,2324.2,4,LOW,0.77,LOW,1
Maersk Intermodal,2479.2,6,MEDIUM,0.1,URGENT,0
FedEx Freight,3407.1,6,MEDIUM,0.38,MEDIUM,1
DHL Express Global,1511.6,4,MEDIUM,0.61,URGENT,0
FedEx Freight,2061.3,4,LOW,0.59,HIGH,1
DHL Express Global,1150.5,2,MEDIUM,0.79,URGENT,0
FedEx Freight,3317.3,6,LOW,0.83,LOW,0
UPS Supply Chain Solutions,2291.9,4,HIGH,0.54,MEDIUM,1
UPS Supply Chain Solutions,479.2,2,LOW,0.4,URGENT,0
UPS Supply Chain Solutions,1303.8,4,LOW,0.16,HIGH,0
Maersk Intermodal,835.9,2,MEDIUM,0.04,URGENT,1
Maersk Intermodal,2270.1,4,LOW,0.29,URGENT,1
DHL Express Global,2742.3,6,LOW,0.64,MEDIUM,1
FedEx Freight,1979.2,5,LOW,0.78,MEDIUM,1
Maersk Intermodal,3235.3,7,MEDIUM,0.3,HIGH,1
DHL Express Global,2646.2,5,HIGH,0.36,URGENT,1
FedEx Freight,1895.8,4,HIGH,0.93,HIGH,0
FedEx Freight,839.1,3,MEDIUM,0.39,URGENT,0
Maersk Intermodal,3778.2,8,MEDIUM,0.28,HIGH,0
FedEx Freight,1314.1,4,LOW,0.37,LOW,1
Maersk Intermodal,2067.7,5,LOW,0.02,URGENT,1
Maersk Intermodal,3597.5,7,MEDIUM,0.8,MEDIUM,1
FedEx Freight,3285.5,7,MEDIUM,0.21,MEDIUM,0
DHL Express Global,1443.6,3,MEDIUM,0.36,HIGH,0
Maersk Intermodal,2993.2,5,LOW,0.61,URGENT,1
FedEx Freight,3150.9,6,LOW,0.25,URGENT,0
UPS Supply Chain Solutions,782.0,3,LOW,0.51,MEDIUM,0
UPS Supply Chain Solutions,2404.8,6,LOW,0.03,LOW,0
Maersk Intermodal,3087.1,7,MEDIUM,0.88,LOW,1
UPS Supply Chain Solutions,1186.0,2,MEDIUM,0.33,LOW,0
DHL Express Global,2029.4,5,MEDIUM,0.86,LOW,0
UPS Supply Chain Solutions,2396.9,4,HIGH,0.43,URGENT,0
Maersk Intermodal,2338.9,5,MEDIUM,0.87,MEDIUM,0
FedEx Freight,3287.2,7,LOW,0.6,URGENT,1
DHL Express Global,616.1,2,MEDIUM,0.82,URGENT,0
UPS Supply Chain Solutions,898.0,2,HIGH,0.41,HIGH,0
DHL Express Global,1337.8,3,MEDIUM,0.54,HIGH,0
Maersk Intermodal,2573.3,6,MEDIUM,0.1,MEDIUM,1
Maersk Intermodal,3699.5,8,LOW,0.19,HIGH,1
DHL Express Global,3790.3,8,HIGH,0.43,URGENT,1
UPS Supply Chain Solutions,2505.0,6,MEDIUM,0.19,URGENT,0
FedEx Freight,1872.4,5,HIGH,0.13,URGENT,1
UPS Supply Chain Solutions,3767.8,7,LOW,0.68,LOW,1
DHL Express Global,1423.6,3,HIGH,0.14,MEDIUM,0
DHL Express Global,1732.0,3,MEDIUM,0.02,MEDIUM,0
UPS Supply Chain Solutions,2680.5,6,MEDIUM,0.19,MEDIUM,0
DHL Express Global,3489.4,6,HIGH,0.42,HIGH,0
Maersk Intermodal,1372.2,3,MEDIUM,0.75,HIGH,0
DHL Express Global,1663.4,4,MEDIUM,0.21,URGENT,1
DHL Express Global,2041.5,5,LOW,0.61,URGENT,1
Maersk Intermodal,2587.6,6,MEDIUM,0.06,URGENT,0
FedEx Freight,2460.5,5,LOW,0.37,URGENT,0
DHL Express Global,1853.8,4,MEDIUM,0.76,HIGH,0
DHL Express Global,1997.7,4,HIGH,0.21,MEDIUM,0
UPS Supply Chain Solutions,3266.9,7,HIGH,0.39,HIGH,0
Maersk Intermodal,3431.6,7,MEDIUM,0.93,URGENT,1
UPS Supply Chain Solutions,1861.4,5,HIGH,0.71,LOW,0
FedEx Freight,2792.4,5,LOW,0.0,URGENT,1
FedEx Freight,647.2,3,LOW,0.73,LOW,1
Maersk Intermodal,2920.0,6,HIGH,0.61,HIGH,0
FedEx Freight,1965.7,4,MEDIUM,0.14,LOW,0
FedEx Freight,1657.0,4,LOW,0.8,URGENT,0
UPS Supply Chain Solutions,539.2,2,LOW,0.81,LOW,0
UPS Supply Chain Solutions,413.6,1,MEDIUM,0.37,MEDIUM,1
Maersk Intermodal,880.1,2,LOW,0.37,HIGH,0
FedEx Freight,2847.4,6,LOW,0.56,HIGH,0
FedEx Freight,2967.3,6,LOW,0.35,LOW,1
Maersk Intermodal,1580.2,4,MEDIUM,0.23,LOW,0
FedEx Freight,2728.2,6,LOW,0.73,LOW,1
UPS Supply Chain Solutions,2234.9,5,HIGH,0.76,HIGH,0
DHL Express Global,1034.8,3,MEDIUM,0.15,LOW,1
FedEx Freight,2439.6,5,LOW,0.53,LOW,0
FedEx Freight,3370.0,6,LOW,0.52,URGENT,1
UPS Supply Chain Solutions,1424.7,4,MEDIUM,0.15,MEDIUM,1
DHL Express Global,2926.8,5,LOW,0.19,LOW,0
UPS Supply Chain Solutions,2889.1,5,MEDIUM,0.63,LOW,1
FedEx Freight,1988.6,4,HIGH,0.5,LOW,1
UPS Supply Chain Solutions,3410.6,7,LOW,0.3,URGENT,1
UPS Supply Chain Solutions,1008.6,2,LOW,0.48,LOW,0
DHL Express Global,2642.7,6,LOW,0.01,LOW,0
DHL Express Global,3053.3,6,MEDIUM,0.71,LOW,1
DHL Express Global,2650.1,6,LOW,0.76,LOW,0
DHL Express Global,3230.3,7,HIGH,0.6,HIGH,1
UPS Supply Chain Solutions,881.0,3,MEDIUM,0.6,LOW,1
DHL Express Global,712.9,3,LOW,0.95,URGENT,0
DHL Express Global,2827.9,6,MEDIUM,0.49,MEDIUM,1
UPS Supply Chain Solutions,750.0,3,MEDIUM,0.51,LOW,0
DHL Express Global,672.6,2,LOW,0.12,HIGH,0
FedEx Freight,2073.4,5,LOW,0.57,MEDIUM,0
UPS Supply Chain Solutions,434.5,2,MEDIUM,0.87,HIGH,1
FedEx Freight,3293.6,6,MEDIUM,0.68,HIGH,1
FedEx Freight,2026.4,5,MEDIUM,0.79,URGENT,1
DHL Express Global,2780.6,6,MEDIUM,0.56,MEDIUM,0
DHL Express Global,706.1,3,MEDIUM,0.09,LOW,1
FedEx Freight,2937.3,6,HIGH,0.47,MEDIUM,1
DHL Express Global,3765.9,8,HIGH,0.3,HIGH,0
Maersk Intermodal,650.8,3,LOW,0.44,HIGH,0
UPS Supply Chain Solutions,1037.0,2,MEDIUM,0.06,URGENT,1
DHL Express Global,579.6,1,LOW,0.69,HIGH,1
UPS Supply Chain Solutions,2159.9,4,LOW,0.22,HIGH,0
Maersk Intermodal,2100.3,4,MEDIUM,0.79,URGENT,1
DHL Express Global,861.3,2,MEDIUM,0.84,HIGH,1
DHL Express Global,2579.6,6,LOW,0.25,HIGH,1
FedEx Freight,510.8,2,MEDIUM,0.27,URGENT,0
FedEx Freight,1436.9,4,MEDIUM,0.41,MEDIUM,0
FedEx Freight,3117.5,6,HIGH,0.86,HIGH,1
UPS Supply Chain Solutions,3013.0,7,HIGH,0.06,MEDIUM,1
FedEx Freight,1982.6,4,MEDIUM,0.66,HIGH,0
Maersk Intermodal,1488.2,3,HIGH,0.35,MEDIUM,1
Maersk Intermodal,1525.2,4,MEDIUM,0.22,URGENT,1
Maersk Intermodal,3305.6,6,LOW,0.41,MEDIUM,0
FedEx Freight,1681.8,3,MEDIUM,0.35,MEDIUM,1
UPS Supply Chain Solutions,823.3,3,LOW,0.72,MEDIUM,1
FedEx Freight,1740.4,3,MEDIUM,0.74,URGENT,0
Maersk Intermodal,2878.3,6,MEDIUM,0.25,MEDIUM,0
UPS Supply Chain Solutions,1350.8,4,LOW,0.21,URGENT,1
FedEx Freight,3345.2,6,HIGH,0.07,URGENT,0
UPS Supply Chain Solutions,2387.3,4,MEDIUM,0.93,HIGH,1
Maersk Intermodal,2274.3,4,HIGH,0.55,HIGH,1
Maersk Intermodal,2206.8,5,MEDIUM,0.88,HIGH,0
Maersk Intermodal,2094.4,4,HIGH,0.4,HIGH,0
Maersk Intermodal,2126.4,4,HIGH,0.4,HIGH,0
Maersk Intermodal,447.0,2,LOW,0.71,LOW,0
DHL Express Global,1930.8,4,HIGH,0.02,HIGH,1
Maersk Intermodal,1755.0,4,LOW,0.09,MEDIUM,0
UPS Supply Chain Solutions,2154.7,5,MEDIUM,0.57,URGENT,1
DHL Express Global,2793.4,6,MEDIUM,0.31,LOW,1
Maersk Intermodal,889.3,2,LOW,0.13,LOW,0
UPS Supply Chain Solutions,3758.7,8,MEDIUM,0.42,URGENT,1
UPS Supply Chain Solutions,678.5,2,LOW,0.86,MEDIUM,1
Maersk Intermodal,618.8,2,LOW,0.3,MEDIUM,0
UPS Supply Chain Solutions,1550.8,4,MEDIUM,0.05,MEDIUM,0
FedEx Freight,1728.8,3,MEDIUM,0.22,HIGH,0
DHL Express Global,1846.5,5,MEDIUM,0.72,URGENT,1
Maersk Intermodal,2260.0,5,MEDIUM,0.69,HIGH,0
DHL Express Global,1947.1,4,MEDIUM,0.31,URGENT,0
DHL Express Global,2859.7,5,HIGH,0.07,URGENT,0
DHL Express Global,3692.6,7,LOW,0.79,HIGH,1
FedEx Freight,2595.2,6,MEDIUM,0.86,HIGH,1
DHL Express Global,903.5,3,HIGH,0.53,URGENT,0
UPS Supply Chain Solutions,2911.3,5,MEDIUM,0.65,HIGH,1
FedEx Freight,2545.6,5,MEDIUM,0.45,MEDIUM,1
FedEx Freight,1308.5,3,HIGH,0.94,HIGH,1
FedEx Freight,1195.9,3,MEDIUM,0.99,MEDIUM,1
UPS Supply Chain Solutions,1056.7,3,LOW,0.62,LOW,0
UPS Supply Chain Solutions,349.8,1,HIGH,0.02,URGENT,0
Maersk Intermodal,1754.8,4,MEDIUM,0.18,HIGH,1
DHL Express Global,3657.0,8,LOW,0.32,URGENT,1
FedEx Freight,1451.8,4,MEDIUM,0.23,HIGH,0
UPS Supply Chain Solutions,1759.0,3,MEDIUM,0.94,MEDIUM,1
FedEx Freight,2240.8,4,LOW,0.27,LOW,1
Maersk Intermodal,998.0,3,MEDIUM,0.58,URGENT,1
Maersk Intermodal,617.3,3,HIGH,0.69,MEDIUM,1
UPS Supply Chain Solutions,1530.7,4,MEDIUM,0.13,MEDIUM,0
DHL Express Global,1444.8,4,LOW,0.51,URGENT,0
FedEx Freight,2964.9,6,HIGH,0.92,HIGH,1
DHL Express Global,386.8,2,HIGH,0.18,MEDIUM,0
DHL Express Global,3222.0,6,LOW,0.43,LOW,0
FedEx Freight,1844.5,4,MEDIUM,0.1,HIGH,0
UPS Supply Chain Solutions,1249.0,4,MEDIUM,0.94,LOW,1
UPS Supply Chain Solutions,3085.9,6,MEDIUM,0.83,LOW,1
Maersk Intermodal,1914.9,5,HIGH,0.46,HIGH,1
FedEx Freight,3359.9,7,LOW,0.67,LOW,0
Maersk Intermodal,3669.6,7,MEDIUM,0.85,LOW,0
DHL Express Global,3439.6,7,LOW,0.9,LOW,1
UPS Supply Chain Solutions,3202.2,7,LOW,0.27,LOW,0
Maersk Intermodal,1834.2,4,MEDIUM,0.21,LOW,1
FedEx Freight,3385.4,6,LOW,0.09,URGENT,0
Maersk Intermodal,785.7,2,MEDIUM,0.04,URGENT,0
FedEx Freight,542.0,2,LOW,0.97,MEDIUM,0
UPS Supply Chain Solutions,999.0,2,MEDIUM,0.05,URGENT,0
FedEx Freight,3466.3,7,MEDIUM,0.73,HIGH,1
Maersk Intermodal,1903.2,4,LOW,0.41,MEDIUM,0
UPS Supply Chain Solutions,436.1,2,LOW,0.02,URGENT,0
DHL Express Global,798.0,2,MEDIUM,0.8,URGENT,1
UPS Supply Chain Solutions,505.0,1,HIGH,0.78,LOW,1
Maersk Intermodal,1546.6,3,MEDIUM,0.86,HIGH,1
DHL Express Global,366.8,2,LOW,0.44,HIGH,0
FedEx Freight,396.7,1,LOW,0.69,URGENT,0
DHL Express Global,2060.1,5,LOW,0.18,HIGH,0
UPS Supply Chain Solutions,1694.9,4,MEDIUM,0.72,HIGH,1
DHL Express Global,704.0,3,LOW,0.18,MEDIUM,0
FedEx Freight,315.3,2,MEDIUM,0.65,URGENT,1
Maersk Intermodal,3037.1,6,MEDIUM,0.59,HIGH,1
UPS Supply Chain Solutions,2954.6,6,MEDIUM,0.94,MEDIUM,1
UPS Supply Chain Solutions,1188.6,2,HIGH,0.93,MEDIUM,1
DHL Express Global,1815.8,5,LOW,0.19,HIGH,0
UPS Supply Chain Solutions,3339.6,7,MEDIUM,0.76,MEDIUM,1
FedEx Freight,1288.1,4,LOW,0.6,MEDIUM,0
Maersk Intermodal,1546.9,3,LOW,0.65,LOW,1
Maersk Intermodal,1188.6,2,MEDIUM,0.27,LOW,0
DHL Express Global,3696.9,8,HIGH,0.42,URGENT,0
FedEx Freight,971.6,3,HIGH,0.85,MEDIUM,1
UPS Supply Chain Solutions,648.2,3,LOW,0.42,URGENT,0
DHL Express Global,1615.0,4,LOW,0.27,LOW,0
FedEx Freight,1861.9,5,HIGH,0.37,LOW,1
Maersk Intermodal,327.2,1,MEDIUM,0.33,LOW,0
FedEx Freight,3670.3,7,MEDIUM,0.5,MEDIUM,1
FedEx Freight,3050.3,6,LOW,0.3,HIGH,0
FedEx Freight,2239.7,4,HIGH,0.41,HIGH,1
FedEx Freight,910.0,3,LOW,0.52,URGENT,0
UPS Supply Chain Solutions,1575.0,4,LOW,0.91,HIGH,1
Maersk Intermodal,584.2,1,MEDIUM,0.28,HIGH,1
Maersk Intermodal,1218.6,4,LOW,0.86,MEDIUM,0
UPS Supply Chain Solutions,3795.0,7,MEDIUM,0.22,URGENT,0
Maersk Intermodal,3042.4,6,HIGH,0.6,URGENT,1
DHL Express Global,2318.7,4,HIGH,0.68,HIGH,1
DHL Express Global,3601.3,8,HIGH,0.29,MEDIUM,0
Maersk Intermodal,2211.1,5,HIGH,0.49,MEDIUM,1
UPS Supply Chain Solutions,2739.5,5,HIGH,0.68,URGENT,0
FedEx Freight,3241.9,7,HIGH,0.49,HIGH,1
Maersk Intermodal,312.4,2,HIGH,0.38,URGENT,1
Maersk Intermodal,1614.8,4,MEDIUM,0.94,MEDIUM,1
DHL Express Global,2075.3,4,LOW,0.57,MEDIUM,1
Maersk Intermodal,3234.2,6,HIGH,0.2,MEDIUM,1
UPS Supply Chain Solutions,3040.8,6,MEDIUM,0.85,URGENT,1
Maersk Intermodal,2379.4,5,LOW,0.45,HIGH,0
Maersk Intermodal,1917.9,5,MEDIUM,0.51,HIGH,1
FedEx Freight,3636.1,8,MEDIUM,0.84,URGENT,0
Maersk Intermodal,2136.0,4,HIGH,0.82,URGENT,1
DHL Express Global,1749.2,3,LOW,0.08,MEDIUM,0
DHL Express Global,1503.0,3,MEDIUM,0.1,LOW,0
Maersk Intermodal,1852.8,5,MEDIUM,0.04,MEDIUM,1
DHL Express Global,3617.8,8,MEDIUM,0.81,URGENT,1
FedEx Freight,3430.9,6,MEDIUM,0.51,HIGH,1
Maersk Intermodal,3320.7,6,MEDIUM,0.47,LOW,1
Maersk Intermodal,1330.1,4,MEDIUM,0.27,MEDIUM,1
Maersk Intermodal,1201.8,3,MEDIUM,0.84,HIGH,1
Maersk Intermodal,1621.4,3,MEDIUM,0.94,HIGH,1
DHL Express Global,3234.4,7,LOW,0.21,LOW,0
FedEx Freight,3050.2,7,LOW,0.4,URGENT,1
UPS Supply Chain Solutions,3167.0,6,LOW,0.05,HIGH,0
FedEx Freight,2962.0,6,MEDIUM,0.45,URGENT,0
FedEx Freight,571.6,2,HIGH,0.32,LOW,0
DHL Express Global,2482.7,5,HIGH,0.12,URGENT,0
UPS Supply Chain Solutions,3399.3,7,LOW,0.1,HIGH,0
DHL Express Global,357.9,1,LOW,0.38,LOW,1
